(null);0;3470;0.21
(null);1;3470;0.11
(null);2;3472;0.19
(null);3;3522;7.68
(null);4;3466;0.40
(null);5;3447;1.02
(null);6;3478;0.47
(null);7;3520;7.24
(null);8;3459;4.67
(null);9;3449;0.24
(null);10;3481;0.49
(null);11;3428;0.36
(null);12;3443;1.11
(null);13;3474;1.26
(null);14;3476;3.97
(null);15;3383;0.58
(null);16;3441;0.37
(null);17;3479;0.70
(null);18;3427;0.36
(null);19;3438;0.84
(null);20;3463;0.33
(null);21;3473;0.80
(null);22;3481;0.56
(null);23;3473;0.96
(null);24;3472;0.90
(null);25;3448;3.13
(null);26;3456;0.97
(null);27;3469;0.62
(null);28;3344;0.32
(null);29;3479;3.01
(null);30;3429;0.18
(null);31;3604;7.58
(null);32;3467;3.77
(null);33;3424;1.18
(null);34;3450;0.90
(null);35;3347;0.14
(null);36;3476;0.32
(null);37;3460;2.81
(null);38;3418;0.81
(null);39;3474;0.30
(null);40;3442;0.68
(null);41;3465;1.02
(null);42;3469;0.33
(null);43;3432;0.07
(null);44;3462;1.75
(null);45;3485;7.10
(null);46;3481;0.23
(null);47;3461;3.92
(null);48;3458;0.18
(null);49;3469;0.48
(null);50;3518;7.30
(null);51;3473;0.80
(null);52;3480;2.13
(null);53;3473;1.84
(null);54;3374;0.45
(null);55;3476;0.76
(null);56;3481;2.92
(null);57;3481;0.78
(null);58;3494;7.33
(null);59;3463;1.82
(null);60;3470;0.42
(null);61;3469;0.86
(null);62;3472;1.81
(null);63;3488;7.38
(null);64;3473;0.36
(null);65;3455;0.44
(null);66;3477;0.32
(null);67;3446;0.73
(null);68;3458;0.47
(null);69;3460;1.64
(null);70;3607;7.30
(null);71;3464;1.70
(null);72;3509;7.43
(null);73;3465;0.96
(null);74;3405;0.19
(null);75;3346;1.19
(null);76;3464;0.16
(null);77;3471;1.92
(null);78;3423;0.72
(null);79;3477;0.48
(null);80;3440;3.33
(null);81;3452;1.82
(null);82;3481;3.22
(null);83;3473;1.21
(null);84;3385;0.28
(null);85;3455;3.87
(null);86;3481;0.39
(null);87;3479;0.70
(null);88;3500;6.99
(null);89;3596;7.27
(null);90;3469;0.45
(null);91;3477;0.16
(null);92;3465;0.66
(null);93;3455;1.88
(null);94;3452;0.21
(null);95;3480;0.10
(null);96;3463;2.81
(null);97;3475;2.14
(null);98;3468;0.79
(null);99;3470;1.10
