(null);0;3050;3.72
(null);1;2893;3.34
(null);2;2776;1.07
(null);3;2743;1.85
(null);4;2939;3.32
(null);5;2842;3.47
(null);6;2642;0.33
(null);7;2654;0.62
(null);8;2773;0.58
(null);9;2777;0.65
(null);10;2775;0.15
(null);11;2770;0.38
(null);12;2864;3.41
(null);13;2800;3.32
(null);14;2813;3.29
(null);15;2682;1.20
(null);16;2811;3.65
(null);17;2778;0.87
(null);18;2983;3.29
(null);19;2755;0.11
(null);20;2874;3.55
(null);21;2769;0.57
(null);22;2942;3.34
(null);23;2776;0.57
(null);24;2870;3.69
(null);25;2893;3.75
(null);26;2769;1.31
(null);27;2754;0.17
(null);28;2761;1.23
(null);29;2814;3.76
(null);30;2774;0.89
(null);31;2716;0.28
(null);32;2762;1.13
(null);33;2777;0.48
(null);34;2820;3.32
(null);35;2762;1.66
(null);36;2753;1.16
(null);37;2713;0.71
(null);38;2994;3.38
(null);39;2778;1.05
(null);40;2778;0.26
(null);41;2759;0.96
(null);42;2738;1.04
(null);43;2744;0.47
(null);44;2830;3.45
(null);45;2755;0.21
(null);46;2769;0.46
(null);47;2941;3.36
(null);48;2740;0.36
(null);49;2765;0.90
(null);50;2825;3.35
(null);51;2727;1.00
(null);52;2660;1.22
(null);53;2746;0.86
(null);54;3114;3.52
(null);55;2777;0.12
(null);56;2625;0.20
(null);57;2785;3.54
(null);58;2774;0.44
(null);59;2770;0.25
(null);60;2721;0.08
(null);61;3155;3.35
(null);62;2847;3.46
(null);63;2707;1.50
(null);64;2770;0.42
(null);65;2760;1.19
(null);66;2772;0.22
(null);67;2766;0.19
(null);68;2764;0.42
(null);69;2767;0.71
(null);70;2873;3.42
(null);71;2755;0.39
(null);72;2806;3.32
(null);73;2806;3.28
(null);74;2755;1.45
(null);75;2948;3.48
(null);76;2695;1.24
(null);77;2761;0.10
(null);78;2746;1.98
(null);79;2745;0.83
(null);80;2773;0.27
(null);81;2774;0.29
(null);82;2768;1.21
(null);83;2770;0.07
(null);84;3046;3.50
(null);85;2969;3.47
(null);86;2752;0.27
(null);87;2972;3.34
(null);88;2864;3.45
(null);89;2817;3.31
(null);90;2764;0.46
(null);91;2774;0.24
(null);92;3017;3.36
(null);93;2767;0.77
(null);94;2751;0.08
(null);95;2841;3.41
(null);96;2775;0.26
(null);97;2738;0.13
(null);98;2775;0.18
(null);99;2773;0.58
